Detailed Statistics Airborne Time  
Origin Airport: Seattle, WA: Seattle/Tacoma International (SEA)
Destination Airport: Dallas/Fort Worth, TX: Dallas/Fort Worth International (DFW)
Airline: American Airlines Inc. (AA)
Month(s): January, February, March, April, May, June, July, August, September, October, November, and December
Day(s): 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30 and 31
Year(s): 2023

Carrier Code,Date (MM/DD/YYYY),Flight_Number,Tail Number,Origin Airport,Destination Airport,Airborne Time (Minutes),Delay Carrier (Minutes),Delay Weather (Minutes),Delay National Aviation System (Minutes),Delay Security (Minutes),Delay Late Aircraft Arrival (Minutes)
"AA","02/11/2023","1992","N149AN","SEA","DFW","0","0","0","0","0","0"
"AA","02/11/2023","2767","N171US","SEA","DFW","209","101","0","0","0","0"
"AA","02/11/2023","2769","N900UW","SEA","DFW","203","0","0","0","0","0"
"AA","02/12/2023","1470","N167AN","SEA","DFW","193","0","0","0","0","0"
"AA","02/12/2023","1667","N445AA","SEA","DFW","202","0","1","28","0","0"
"AA","02/12/2023","1992","N934AA","SEA","DFW","195","0","0","0","0","0"
"AA","02/12/2023","2748","N142AN","SEA","DFW","203","0","0","0","0","0"
"AA","02/12/2023","2767","N559UW","SEA","DFW","196","0","0","0","0","0"
"AA","02/12/2023","2769","N164NN","SEA","DFW","199","0","0","0","0","0"
"AA","02/13/2023","1470","N149AN","SEA","DFW","200","12","0","79","0","0"
"AA","02/13/2023","1667","N415AN","SEA","DFW","203","0","0","0","0","0"
"AA","02/13/2023","1992","N990AU","SEA","DFW","204","0","0","0","0","0"
"AA","02/13/2023","2748","N990AU","SEA","DFW","198","0","0","0","0","0"
"AA","02/13/2023","2767","N918US","SEA","DFW","202","0","0","0","0","0"
"AA","02/13/2023","2769","N156AN","SEA","DFW","207","0","0","0","0","0"
"AA","02/14/2023","1667","N458AL","SEA","DFW","202","0","0","19","0","0"
"AA","02/14/2023","1992","N989AU","SEA","DFW","214","0","0","0","0","0"
"AA","02/14/2023","2748","N126AN","SEA","DFW","202","10","0","20","0","0"
"AA","02/14/2023","2767","N925UY","SEA","DFW","200","0","0","0","0","0"
"AA","02/14/2023","2769","N993AN","SEA","DFW","195","0","0","0","0","0"
"AA","02/15/2023","1667","N463AA","SEA","DFW","200","0","0","24","0","0"
